,County,App_GPA(avg)
0,Alameda,3.7350090258929485
1,Amador,3.9509805242272353
2,Butte,3.8482262487209087
3,Calaveras,3.8056432832924068
4,Colusa,3.831222222222223
5,Contra Costa,3.735699179888076
6,Del Norte,3.87916666666667
7,El Dorado,3.641071995464853
8,Fresno,3.7315590588869636
9,Glenn,3.7533333333333303
10,Humboldt,3.9382086263551748
11,Imperial,3.795302754483377
12,Inyo,3.7323809523809506
13,Kern,3.70817271567429
14,Kings,3.7809833369245127
15,Lake,3.7604895382395385
16,Los Angeles,3.609466707422137
17,Madera,3.829984615384616
18,Marin,3.865141901608544
19,Mariposa,4.004
20,Mendocino,3.9048787088042194
21,Merced,3.725597046393494
22,Monterey,3.667498730482159
23,Napa,3.823168693279543
24,Nevada,3.77717621757737
25,Orange,3.7023047282060886
26,Placer,3.836706080682462
27,Plumas,3.0460000000000003
28,Riverside,3.6514620967174487
29,Sacramento,3.717654827036685
30,San Benito,3.634448412698413
31,San Bernardino,3.6469913350815837
32,San Diego,3.7762397810416233
33,San Francisco,3.715215890371527
34,San Joaquin,3.6829240371553085
35,San Luis Obispo,3.940904594692816
36,San Mateo,3.6935763906666113
37,Santa Barbara,3.7423407074045545
38,Santa Clara,3.7944425208705765
39,Santa Cruz,3.812288014722473
40,Shasta,3.710914834620718
41,Siskiyou,3.6845128968253977
42,Solano,3.7450305287328503
43,Sonoma,3.7302586404447937
44,Stanislaus,3.829836424174818
45,Sutter,3.8291166666666676
46,Tulare,3.6651341304136844
47,Tuolumne,3.3568
48,Ventura,3.845287771495778
49,Yolo,3.8300439680517
50,Yuba,3.63233896103896
